Majority_protein_IDs	Fasta_headers	Score	id	Phospho_(STY)_site_IDs	Description	Gene_name	Uniprot_ID
tr|B2RBA0|B2RBA0_HUMAN;sp|O95391|SLU7_HUMAN	tr|B2RBA0|B2RBA0_HUMAN cDNA, FLJ95388, highly similar to Homo sapiens step II splicing factor SLU7 (SLU7), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O95391|SLU7_HUMAN Pre-mRNA-splicing factor SLU7 OS=Homo sapiens OX=9606 GN=SLU7 PE=1 SV=2	2.889	827	707	cDNA, FLJ95388, highly similar to Homo sapiens step II splicing factor SLU7 (SLU7), mRNA	SLU7	B2RBA0
tr|B3KN28|B3KN28_HUMAN;sp|O95394|AGM1_HUMAN;tr|A0A087WT27|A0A087WT27_HUMAN;tr|J3KN95|J3KN95_HUMAN;tr|H0Y8I3|H0Y8I3_HUMAN;tr|H0Y987|H0Y987_HUMAN	tr|B3KN28|B3KN28_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O95394|AGM1_HUMAN Phosphoacetylglucosamine mutase OS=Homo sapiens OX=9606 GN=PGM3 PE=1 SV=1;tr|A0A087WT27|A0A087WT27_HUMAN Phosphoacetylglucosamine mutase OS=Homo s	10.462	828	708	Phosphoacetylglucosamine mutase	PGM3	B3KN28
tr|A0AVP6|A0AVP6_HUMAN;sp|O95399|UTS2_HUMAN;tr|Q5H8X8|Q5H8X8_HUMAN	tr|A0AVP6|A0AVP6_HUMAN UTS2 protein OS=Homo sapiens OX=9606 GN=UTS2 PE=2 SV=1;sp|O95399|UTS2_HUMAN Urotensin-2 OS=Homo sapiens OX=9606 GN=UTS2 PE=1 SV=1;tr|Q5H8X8|Q5H8X8_HUMAN Urotensin-2 OS=Homo sapiens OX=9606 GN=UTS2 PE=1 SV=1	2.2789	829	NA	UTS2 protein	UTS2	A0AVP6
tr|A0A024QZC1|A0A024QZC1_HUMAN;sp|O95400|CD2B2_HUMAN;tr|Q5QTR6|Q5QTR6_HUMAN	tr|A0A024QZC1|A0A024QZC1_HUMAN CD2 antigen (Cytoplasmic tail) binding protein 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=CD2BP2 PE=2 SV=1;sp|O95400|CD2B2_HUMAN CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1;tr|Q	81.83	830	709;710;711	CD2 antigen (Cytoplasmic tail) binding protein 2, isoform CRA_a	CD2BP2	A0A024QZC1
tr|B8ZZF3|B8ZZF3_HUMAN;tr|B2R9G9|B2R9G9_HUMAN;sp|O95402|MED26_HUMAN;tr|M0R2Y4|M0R2Y4_HUMAN	tr|B8ZZF3|B8ZZF3_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=2;tr|B2R9G9|B2R9G9_HUMAN cDNA, FLJ94385, highly similar to Homo sapiens cofactor required for Sp1 transcriptional activation, subunit 7, 70kDa (CRSP7), mRNA OS=Homo sapiens OX=9	2.5619	831	712;713	Uncharacterized protein	NA	B8ZZF3
sp|O95429|BAG4_HUMAN;tr|H0YBT1|H0YBT1_HUMAN;tr|B2RA34|B2RA34_HUMAN	sp|O95429|BAG4_HUMAN BAG family molecular chaperone regulator 4 OS=Homo sapiens OX=9606 GN=BAG4 PE=1 SV=1;tr|H0YBT1|H0YBT1_HUMAN BAG family molecular chaperone regulator 4 (Fragment) OS=Homo sapiens OX=9606 GN=BAG4 PE=1 SV=1;tr|B2RA34|B2RA34_HUMAN cDNA, FL	6.9166	832	714;7334	BAG family molecular chaperone regulator 4	BAG4	O95429
sp|O95433|AHSA1_HUMAN;tr|G3V438|G3V438_HUMAN;tr|H0YJG7|H0YJG7_HUMAN	sp|O95433|AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr|G3V438|G3V438_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1;tr	173.89	833	715	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	O95433
sp|O95453|PARN_HUMAN;tr|B3KN69|B3KN69_HUMAN	sp|O95453|PARN_HUMAN Poly(A)-specific ribonuclease PARN OS=Homo sapiens OX=9606 GN=PARN PE=1 SV=1;tr|B3KN69|B3KN69_HUMAN cDNA FLJ13804 fis, clone THYRO1000197, highly similar to Poly(A)-specific ribonuclease PARN OS=Homo sapiens OX=9606 PE=2 SV=1	60.534	834	716;717;7335	Poly(A)-specific ribonuclease PARN	PARN	O95453
sp|O95456|PSMG1_HUMAN;tr|B2RD51|B2RD51_HUMAN	sp|O95456|PSMG1_HUMAN Proteasome assembly chaperone 1 OS=Homo sapiens OX=9606 GN=PSMG1 PE=1 SV=1;tr|B2RD51|B2RD51_HUMAN Proteasome assembly chaperone 1 OS=Homo sapiens OX=9606 PE=2 SV=1	48.402	835	NA	Proteasome assembly chaperone 1	PSMG1	O95456
sp|O95466|FMNL1_HUMAN;tr|K7EK60|K7EK60_HUMAN;tr|A0A0A0MR62|A0A0A0MR62_HUMAN;tr|K7EJE6|K7EJE6_HUMAN	sp|O95466|FMNL1_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3;tr|K7EK60|K7EK60_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=1;tr|A0A0A0MR62|A0A0A0MR62_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=F	110.47	836	718;719	Formin-like protein 1	FMNL1	O95466
sp|O95470|SGPL1_HUMAN	sp|O95470|SGPL1_HUMAN Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3	5.7912	837	NA	Sphingosine-1-phosphate lyase 1	SGPL1	O95470
tr|Q5J7U2|Q5J7U2_HUMAN;sp|O95478|NSA2_HUMAN;tr|H0YAI9|H0YAI9_HUMAN;tr|A0A0A0MQZ6|A0A0A0MQZ6_HUMAN	tr|Q5J7U2|Q5J7U2_HUMAN TGF beta-inducible nuclear protein 1 OS=Homo sapiens OX=9606 GN=CDK105 PE=2 SV=1;sp|O95478|NSA2_HUMAN Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens OX=9606 GN=NSA2 PE=1 SV=1;tr|H0YAI9|H0YAI9_HUMAN Ribosome biogenesis prote	3.9352	838	NA	TGF beta-inducible nuclear protein 1	CDK105	Q5J7U2
sp|O95486|SC24A_HUMAN;tr|B4E205|B4E205_HUMAN	sp|O95486|SC24A_HUMAN Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2;tr|B4E205|B4E205_HUMAN cDNA FLJ61651, highly similar to Protein transport protein Sec24A OS=Homo sapiens OX=9606 PE=2 SV=1	38.068	839	NA	Protein transport protein Sec24A	SEC24A	O95486
sp|O95487|SC24B_HUMAN;tr|B4E2E1|B4E2E1_HUMAN;tr|B4DTM6|B4DTM6_HUMAN	sp|O95487|SC24B_HUMAN Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2;tr|B4E2E1|B4E2E1_HUMAN cDNA FLJ54322, highly similar to Protein transport protein Sec24B OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B4DTM6|B4DTM6_HUMAN cDNA FLJ613	21.053	840	NA	Protein transport protein Sec24B	SEC24B	O95487
tr|A8K6R3|A8K6R3_HUMAN;tr|A8K6D4|A8K6D4_HUMAN;tr|A0A024R058|A0A024R058_HUMAN;sp|O95544|NADK_HUMAN;tr|J3KSP9|J3KSP9_HUMAN;tr|A0A0A0MR98|A0A0A0MR98_HUMAN	tr|A8K6R3|A8K6R3_HUMAN cDNA FLJ78247, highly similar to Homo sapiens NAD kinase, mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A8K6D4|A8K6D4_HUMAN cDNA FLJ77769, highly similar to Homo sapiens NAD kinase, mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024R058|A0	5.3454	841	NA	cDNA FLJ78247, highly similar to Homo sapiens NAD kinase, mRNA	NA	A8K6R3
sp|O95551|TYDP2_HUMAN;tr|A0A384MDM5|A0A384MDM5_HUMAN;tr|X6R5A3|X6R5A3_HUMAN	sp|O95551|TYDP2_HUMAN Tyrosyl-DNA phosphodiesterase 2 OS=Homo sapiens OX=9606 GN=TDP2 PE=1 SV=1;tr|A0A384MDM5|A0A384MDM5_HUMAN Epididymis secretory sperm binding protein OS=Homo sapiens OX=9606 PE=2 SV=1;tr|X6R5A3|X6R5A3_HUMAN TRAF and TNF receptor associa	4.5848	842	NA	Tyrosyl-DNA phosphodiesterase 2	TDP2	O95551
tr|Q5TIH2|Q5TIH2_HUMAN;sp|O95562|SFT2B_HUMAN	tr|Q5TIH2|Q5TIH2_HUMAN Vesicle transport protein OS=Homo sapiens OX=9606 GN=SFT2D2 PE=1 SV=1;sp|O95562|SFT2B_HUMAN Vesicle transport protein SFT2B OS=Homo sapiens OX=9606 GN=SFT2D2 PE=1 SV=1	4.2145	843	720	Vesicle transport protein	SFT2D2	Q5TIH2
tr|Q5R3B4|Q5R3B4_HUMAN;tr|B2R4Q7|B2R4Q7_HUMAN;tr|A0A024R8Z5|A0A024R8Z5_HUMAN;sp|O95563|MPC2_HUMAN	tr|Q5R3B4|Q5R3B4_HUMAN Mitochondrial pyruvate carrier (Fragment) OS=Homo sapiens OX=9606 GN=MPC2 PE=1 SV=1;tr|B2R4Q7|B2R4Q7_HUMAN Mitochondrial pyruvate carrier OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024R8Z5|A0A024R8Z5_HUMAN Mitochondrial pyruvate carrier	7.8405	844	NA	Mitochondrial pyruvate carrier (Fragment)	MPC2	Q5R3B4
tr|M0QY80|M0QY80_HUMAN;tr|B2RCZ7|B2RCZ7_HUMAN;tr|A0A0S2Z580|A0A0S2Z580_HUMAN;tr|A0A0S2Z5B3|A0A0S2Z5B3_HUMAN;sp|O95571|ETHE1_HUMAN;tr|M0QXB5|M0QXB5_HUMAN	tr|M0QY80|M0QY80_HUMAN Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=1;tr|B2RCZ7|B2RCZ7_HUMAN Ethylmalonic encephalopathy 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=ETHE1 PE=2 SV=1;tr|A0A0S2Z580|A0A0S2Z580_HUMAN Ethy	3.0589	845	NA	Persulfide dioxygenase ETHE1, mitochondrial	ETHE1	M0QY80
tr|B3KN05|B3KN05_HUMAN;tr|B2RBE0|B2RBE0_HUMAN;tr|A0A024R497|A0A024R497_HUMAN;sp|O95573|ACSL3_HUMAN;tr|B3KMA6|B3KMA6_HUMAN	tr|B3KN05|B3KN05_HUMAN cDNA FLJ13129 fis, clone NT2RP3002969, highly similar to Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B2RBE0|B2RBE0_HUMAN cDNA, FLJ95462, highly similar to Homo sapiens fatty-acid-Coenzyme A ligase, long-c	60.249	846	NA	cDNA FLJ13129 fis, clone NT2RP3002969, highly similar to Long-chain-fatty-acid--CoA ligase 3	NA	B3KN05
tr|B9ZVN9|B9ZVN9_HUMAN;sp|O95602|RPA1_HUMAN;tr|B7ZKR9|B7ZKR9_HUMAN;tr|Q53T12|Q53T12_HUMAN;tr|B7Z8X7|B7Z8X7_HUMAN;tr|B7Z284|B7Z284_HUMAN;tr|Q96AG9|Q96AG9_HUMAN	tr|B9ZVN9|B9ZVN9_HUMAN DNA-directed RNA polymerase subunit OS=Homo sapiens OX=9606 GN=POLR1A PE=1 SV=1;sp|O95602|RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens OX=9606 GN=POLR1A PE=1 SV=2;tr|B7ZKR9|B7ZKR9_HUMAN DNA-directed RNA polym	36.544	847	NA	DNA-directed RNA polymerase subunit	POLR1A	B9ZVN9
sp|O95613|PCNT_HUMAN	sp|O95613|PCNT_HUMAN Pericentrin OS=Homo sapiens OX=9606 GN=PCNT PE=1 SV=4	11.222	848	721;722	Pericentrin	PCNT	O95613
tr|F8W0J4|F8W0J4_HUMAN;sp|O95619|YETS4_HUMAN;tr|F8W1B9|F8W1B9_HUMAN	tr|F8W0J4|F8W0J4_HUMAN YEATS domain-containing protein 4 OS=Homo sapiens OX=9606 GN=YEATS4 PE=1 SV=1;sp|O95619|YETS4_HUMAN YEATS domain-containing protein 4 OS=Homo sapiens OX=9606 GN=YEATS4 PE=1 SV=1;tr|F8W1B9|F8W1B9_HUMAN YEATS domain-containing protein	4.6966	849	NA	YEATS domain-containing protein 4	YEATS4	F8W0J4
tr|A0A140VK54|A0A140VK54_HUMAN;sp|O95630|STABP_HUMAN;tr|C9JK83|C9JK83_HUMAN	tr|A0A140VK54|A0A140VK54_HUMAN Testicular secretory protein Li 54 OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O95630|STABP_HUMAN STAM-binding protein OS=Homo sapiens OX=9606 GN=STAMBP PE=1 SV=1;tr|C9JK83|C9JK83_HUMAN STAM-binding protein (Fragment) OS=Homo sapien	7.3874	850	723	Testicular secretory protein Li 54	STAMBP	A0A140VK54
sp|O95639|CPSF4_HUMAN;tr|H7C419|H7C419_HUMAN;tr|B7Z7B0|B7Z7B0_HUMAN;tr|C9JEV9|C9JEV9_HUMAN	sp|O95639|CPSF4_HUMAN Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens OX=9606 GN=CPSF4 PE=1 SV=1;tr|H7C419|H7C419_HUMAN Cleavage and polyadenylation-specificity factor subunit 4 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF4 PE=1 SV=	15.189	851	724;725;726	Cleavage and polyadenylation specificity factor subunit 4	CPSF4	O95639
sp|O95644|NFAC1_HUMAN;tr|A8K9C6|A8K9C6_HUMAN;tr|F5H4S8|F5H4S8_HUMAN;tr|B4DER8|B4DER8_HUMAN;tr|K7ER53|K7ER53_HUMAN	sp|O95644|NFAC1_HUMAN Nuclear factor of activated T-cells, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=NFATC1 PE=1 SV=3;tr|A8K9C6|A8K9C6_HUMAN cDNA FLJ76687, highly similar to Homo sapiens nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependen	7.8582	852	NA	Nuclear factor of activated T-cells, cytoplasmic 1	NFATC1	O95644
sp|O95671|ASML_HUMAN;tr|B3KM43|B3KM43_HUMAN;tr|B4DRF1|B4DRF1_HUMAN;tr|B4DN81|B4DN81_HUMAN	sp|O95671|ASML_HUMAN Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein OS=Homo sapiens OX=9606 GN=ASMTL PE=1 SV=3;tr|B3KM43|B3KM43_HUMAN cDNA FLJ10228 fis, clone HEMBB1000119, highly similar to N-acetylserotonin O-methyltransferase-l	42.907	853	727;728;729;730	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein	ASMTL	O95671
tr|B3KNK4|B3KNK4_HUMAN;tr|B3KM95|B3KM95_HUMAN;sp|O95674|CDS2_HUMAN	tr|B3KNK4|B3KNK4_HUMAN Phosphatidate cytidylyltransferase OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B3KM95|B3KM95_HUMAN Phosphatidate cytidylyltransferase OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O95674|CDS2_HUMAN Phosphatidate cytidylyltransferase 2 OS=Homo sapien	41.449	854	731;732;733;7336;7337	Phosphatidate cytidylyltransferase	NA	B3KNK4
tr|A0A087WV25|A0A087WV25_HUMAN;tr|B4DH64|B4DH64_HUMAN;sp|O95684|FR1OP_HUMAN	tr|A0A087WV25|A0A087WV25_HUMAN FGFR1 oncogene partner OS=Homo sapiens OX=9606 GN=FGFR1OP PE=1 SV=1;tr|B4DH64|B4DH64_HUMAN cDNA FLJ52986, highly similar to FGFR1 oncogene partner OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O95684|FR1OP_HUMAN FGFR1 oncogene partner	71.232	855	NA	FGFR1 oncogene partner	FGFR1OP	A0A087WV25
tr|A0A024R4W4|A0A024R4W4_HUMAN;sp|O95696|BRD1_HUMAN;tr|Q86X06|Q86X06_HUMAN;tr|A0A024R4V5|A0A024R4V5_HUMAN;tr|Q659H0|Q659H0_HUMAN;tr|Q5CZ83|Q5CZ83_HUMAN;tr|B4DZC2|B4DZC2_HUMAN;tr|Q9Y4Q3|Q9Y4Q3_HUMAN;tr|B4DZ41|B4DZ41_HUMAN;tr|B7Z926|B7Z926_HUMAN;tr|B4E3L9|B4E3L9_HUMAN	tr|A0A024R4W4|A0A024R4W4_HUMAN Bromodomain containing 1, isoform CRA_b OS=Homo sapiens OX=9606 GN=BRD1 PE=4 SV=1;sp|O95696|BRD1_HUMAN Bromodomain-containing protein 1 OS=Homo sapiens OX=9606 GN=BRD1 PE=1 SV=1;tr|Q86X06|Q86X06_HUMAN BRD1 protein OS=Homo sap	4.77	856	734;735;736;7338	Bromodomain containing 1, isoform CRA_b	BRD1	A0A024R4W4
sp|O95714|HERC2_HUMAN	sp|O95714|HERC2_HUMAN E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2	45.248	857	737;738;7339	E3 ubiquitin-protein ligase HERC2	HERC2	O95714
sp|O95721|SNP29_HUMAN	sp|O95721|SNP29_HUMAN Synaptosomal-associated protein 29 OS=Homo sapiens OX=9606 GN=SNAP29 PE=1 SV=1	9.0088	858	NA	Synaptosomal-associated protein 29	SNAP29	O95721
tr|A0A024R2M7|A0A024R2M7_HUMAN;sp|O95747|OXSR1_HUMAN;tr|C9JIG9|C9JIG9_HUMAN	tr|A0A024R2M7|A0A024R2M7_HUMAN Oxidative-stress responsive 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=OXSR1 PE=4 SV=1;sp|O95747|OXSR1_HUMAN Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1;tr|C9JIG9|C9JIG9_HUMAN Serine/threo	220.1	859	739;740;741;742	Oxidative-stress responsive 1, isoform CRA_a	OXSR1	A0A024R2M7
tr|A0A024R3W4|A0A024R3W4_HUMAN;sp|O95749|GGPPS_HUMAN	tr|A0A024R3W4|A0A024R3W4_HUMAN Geranylgeranyl diphosphate synthase 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=GGPS1 PE=3 SV=1;sp|O95749|GGPPS_HUMAN Geranylgeranyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=GGPS1 PE=1 SV=1	2.901	860	NA	Geranylgeranyl diphosphate synthase 1, isoform CRA_a	GGPS1	A0A024R3W4
tr|Q53ZP9|Q53ZP9_HUMAN;tr|A0A140VKE7|A0A140VKE7_HUMAN;sp|O95757|HS74L_HUMAN;tr|E9PDE8|E9PDE8_HUMAN;tr|B4DXT2|B4DXT2_HUMAN;tr|B4DZR0|B4DZR0_HUMAN;tr|B3KNM0|B3KNM0_HUMAN;tr|D6RJ96|D6RJ96_HUMAN	tr|Q53ZP9|Q53ZP9_HUMAN Heat shock protein apg-1 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A140VKE7|A0A140VKE7_HUMAN Testis tissue sperm-binding protein Li 64n OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O95757|HS74L_HUMAN Heat shock 70 kDa protein 4L OS=Homo sapiens	103.32	861	743	Heat shock protein apg-1	NA	Q53ZP9
tr|A0A024R163|A0A024R163_HUMAN;sp|O95758|PTBP3_HUMAN	tr|A0A024R163|A0A024R163_HUMAN ROD1 regulator of differentiation 1 (S. pombe), isoform CRA_b OS=Homo sapiens OX=9606 GN=ROD1 PE=4 SV=1;sp|O95758|PTBP3_HUMAN Polypyrimidine tract-binding protein 3 OS=Homo sapiens OX=9606 GN=PTBP3 PE=1 SV=2	17.844	862	744;745	ROD1 regulator of differentiation 1 (S. pombe), isoform CRA_b	ROD1	A0A024R163
tr|A4D0W0|A4D0W0_HUMAN;sp|O95777|LSM8_HUMAN;tr|F2Z2Y6|F2Z2Y6_HUMAN;tr|C9JIZ0|C9JIZ0_HUMAN;tr|C9JNV3|C9JNV3_HUMAN	tr|A4D0W0|A4D0W0_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=2 SV=1;sp|O95777|LSM8_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3;tr|F2Z2Y6|F2Z2Y6_HUMAN U6 snRNA-associated Sm-	47.427	863	746;747;748	U6 snRNA-associated Sm-like protein LSm8	LSM8	A4D0W0
sp|O95782|AP2A1_HUMAN;tr|Q8N9K4|Q8N9K4_HUMAN	sp|O95782|AP2A1_HUMAN AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3;tr|Q8N9K4|Q8N9K4_HUMAN cDNA FLJ36998 fis, clone BRACE2007295, highly similar to ALPHA-ADAPTIN A OS=Homo sapiens OX=9606 PE=2 SV=1	83.413	864	NA	AP-2 complex subunit alpha-1	AP2A1	O95782
tr|A8K622|A8K622_HUMAN;sp|O95793|STAU1_HUMAN;tr|Q59F99|Q59F99_HUMAN;tr|A0A087X1A5|A0A087X1A5_HUMAN;tr|Q5JW30|Q5JW30_HUMAN;tr|B3KRE0|B3KRE0_HUMAN	tr|A8K622|A8K622_HUMAN cDNA FLJ75871, highly similar to Homo sapiens staufen, RNA binding protein (STAU), transcript variant T3, mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O95793|STAU1_HUMAN Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapi	28.216	865	NA	cDNA FLJ75871, highly similar to Homo sapiens staufen, RNA binding protein (STAU), transcript variant T3, mRNA	NA	A8K622
sp|O95801|TTC4_HUMAN	sp|O95801|TTC4_HUMAN Tetratricopeptide repeat protein 4 OS=Homo sapiens OX=9606 GN=TTC4 PE=1 SV=3	13.204	866	NA	Tetratricopeptide repeat protein 4	TTC4	O95801
tr|B3KN59|B3KN59_HUMAN;tr|B3KM36|B3KM36_HUMAN;sp|O95816|BAG2_HUMAN	tr|B3KN59|B3KN59_HUMAN cDNA FLJ13673 fis, clone PLACE1011858, highly similar to BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B3KM36|B3KM36_HUMAN cDNA FLJ10153 fis, clone HEMBA1003417, highly similar to BAG family molecula	40.944	867	749	cDNA FLJ13673 fis, clone PLACE1011858, highly similar to BAG family molecular chaperone regulator 2	NA	B3KN59
sp|O95819|M4K4_HUMAN;tr|A0A0D9SEY1|A0A0D9SEY1_HUMAN;tr|V9HWH3|V9HWH3_HUMAN;tr|G3XAA2|G3XAA2_HUMAN;tr|E7EN19|E7EN19_HUMAN;tr|E7ENQ1|E7ENQ1_HUMAN;tr|B7Z3V5|B7Z3V5_HUMAN;tr|G5E948|G5E948_HUMAN;tr|Q53TX8|Q53TX8_HUMAN;tr|H7C360|H7C360_HUMAN;tr|E7EX83|E7EX83_HUMAN;tr|A0A0D9SG62|A0A0D9SG62_HUMAN;tr|B7Z388|B7Z388_HUMAN;tr|Q5MD60|Q5MD60_HUMAN;tr|C9J840|C9J840_HUMAN;tr|H7C0P6|H7C0P6_HUMAN	sp|O95819|M4K4_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2;tr|A0A0D9SEY1|A0A0D9SEY1_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4, isoform CRA_a OS=Homo sapiens OX=9606 GN=MAP4K4	31.879	868	750;751;752;753;7340;7341;7342	Mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	O95819
sp|O95831|AIFM1_HUMAN;tr|E9PMA0|E9PMA0_HUMAN	sp|O95831|AIFM1_HUMAN Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1;tr|E9PMA0|E9PMA0_HUMAN Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1	176.93	869	754;755;756	Apoptosis-inducing factor 1, mitochondrial	AIFM1	O95831
sp|O95834|EMAL2_HUMAN;tr|K7EII6|K7EII6_HUMAN;tr|K7EKG3|K7EKG3_HUMAN;tr|A0A0C4DGQ7|A0A0C4DGQ7_HUMAN;tr|B7Z918|B7Z918_HUMAN;tr|C9JRL6|C9JRL6_HUMAN;tr|B7Z872|B7Z872_HUMAN;tr|K7EIK7|K7EIK7_HUMAN	sp|O95834|EMAL2_HUMAN Echinoderm microtubule-associated protein-like 2 OS=Homo sapiens OX=9606 GN=EML2 PE=1 SV=1;tr|K7EII6|K7EII6_HUMAN Echinoderm microtubule-associated protein-like 2 (Fragment) OS=Homo sapiens OX=9606 GN=EML2 PE=1 SV=1;tr|K7EKG3|K7EKG3_H	14.688	870	NA	Echinoderm microtubule-associated protein-like 2	EML2	O95834
sp|O95837|GNA14_HUMAN;tr|Q59FM5|Q59FM5_HUMAN;tr|G9FP35|G9FP35_HUMAN;tr|A0A024R240|A0A024R240_HUMAN;sp|P50148|GNAQ_HUMAN;sp|P29992|GNA11_HUMAN	sp|O95837|GNA14_HUMAN Guanine nucleotide-binding protein subunit alpha-14 OS=Homo sapiens OX=9606 GN=GNA14 PE=1 SV=1;tr|Q59FM5|Q59FM5_HUMAN Guanine nucleotide-binding protein G, alpha subunit variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|G9FP35|G	2.0627	871	NA	Guanine nucleotide-binding protein subunit alpha-14	GNA14	O95837
tr|V9HWF9|V9HWF9_HUMAN;sp|O95861|BPNT1_HUMAN;tr|A6NF51|A6NF51_HUMAN;tr|F8W1J0|F8W1J0_HUMAN;tr|F8VZG4|F8VZG4_HUMAN;tr|F8VVW8|F8VVW8_HUMAN	tr|V9HWF9|V9HWF9_HUMAN Epididymis luminal protein 20 OS=Homo sapiens OX=9606 GN=HEL20 PE=2 SV=1;sp|O95861|BPNT1_HUMAN 3(2),5-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1;tr|A6NF51|A6NF51_HUMAN 3(2),5-bisphosphate nucleotidas	47.828	872	NA	Epididymis luminal protein 20	HEL20	V9HWF9
tr|V9HW53|V9HW53_HUMAN;sp|O95865|DDAH2_HUMAN;tr|B4E3V1|B4E3V1_HUMAN;tr|B4DYP1|B4DYP1_HUMAN;tr|H0Y7N1|H0Y7N1_HUMAN;tr|B4DGT0|B4DGT0_HUMAN;tr|A0A140T971|A0A140T971_HUMAN;tr|Q5SSV3|Q5SSV3_HUMAN;tr|Q5SRR8|Q5SRR8_HUMAN;tr|B1AKK2|B1AKK2_HUMAN;sp|O94760|DDAH1_HUMAN	tr|V9HW53|V9HW53_HUMAN DDAH2 OS=Homo sapiens OX=9606 GN=HEL-S-277 PE=1 SV=1;sp|O95865|DDAH2_HUMAN N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens OX=9606 GN=DDAH2 PE=1 SV=1;tr|B4E3V1|B4E3V1_HUMAN cDNA FLJ61209, highly similar to NG,NG-d	3.1863	873	NA	DDAH2	HEL-S-277	V9HW53
